ENM_NFT_ADDRESS,DC_CREATOR_ADDRESS,DC_CREATOR_IS_CONTRACT_ADDRESS,TX_CREATOR_ADDRESS
0xa24eab851c71dc043bb7195e7da9fbcfd0186096,0x7fea17138c49a28b96c564faed4c9977ffb021ea,0,0x7fea17138c49a28b96c564faed4c9977ffb021ea
0xc768edf2d21fe00ef5804a7caa775e877e65a70e,0xda461fb49bf2775378ada0b090665019c3e13f37,0,0xda461fb49bf2775378ada0b090665019c3e13f37
0xcab62d8a342e3d9690fad0124bf7f760475ac980,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0x6a4aa35badeb1417811edb4d005384678f4da79e
0xe78d195cc0bc403d2b187186c474efda8d53ee0e,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0xd94c4b319b9900d3a70ae58811c27266088dc591
0xab193efceb1651bf78d239a3d4cf2bf53db9b313,0x2c325156416cc7b701151dafb6d4c0bdf0d398f0,1,0x64c90f8a492cdf2e1126b0bc1a82d40edd20497e
0x2c25e86b4919626452379e1b8727bb284f418e2e,0x1a9f1676fd9f2b7ef24315cfb04b5d7f016cd38f,0,0x1a9f1676fd9f2b7ef24315cfb04b5d7f016cd38f
0xb5ec720f23804df2ef377764c714e4470a7dd539,0xc17629eab768b3e3fcc15d1b7bdf7d1f824209f8,0,0xc17629eab768b3e3fcc15d1b7bdf7d1f824209f8
0xdcff12560fad63d40c607c4736783f6aacbef844,0x60a0d272870fd10a2aa8202912a1fb2bd9aaeb8d,0,0x60a0d272870fd10a2aa8202912a1fb2bd9aaeb8d
0x8cdb9e8dd31b9e5e4cb6ff9c759d3a967c5c466a,0x2531896dfb32418babf6c57edd40f8ee53c0f236,0,0x2531896dfb32418babf6c57edd40f8ee53c0f236
0x2d9fafd20450cd11c6a51313a1255ac30cc669a2,0xbf89b34ede7a7dea10bcb8be91e345344ac3039e,0,0xbf89b34ede7a7dea10bcb8be91e345344ac3039e
0xa69320b4a5fc78f05e8bcf7401cdf56d89c403ed,0x50ac6197debb7c60e1629dd845ce9016880d6002,0,0x50ac6197debb7c60e1629dd845ce9016880d6002
0xb6e15ffd076cc3ce0209969fe73371ecdb02b21c,0xf05557e4b48221a70be5e5db76e86c832f83ddd8,0,0xf05557e4b48221a70be5e5db76e86c832f83ddd8
0x3e3589f7337551256dafe3df3695f92e605047bc,0x6faea455ea5309259cdfb076caaf779488ddf8de,0,0x6faea455ea5309259cdfb076caaf779488ddf8de
0xc2c21ea20aadd399a799e93893136bd0bf29edfa,0x975a8f0fbfbc3b6e21c0182a634ba96a67502595,0,0x975a8f0fbfbc3b6e21c0182a634ba96a67502595
0x5f43dc69b494645ba39982d633ffa9088335439b,0x1a73306100f9f27e153ef1044be99bfba644e7d2,0,0x1a73306100f9f27e153ef1044be99bfba644e7d2
0xe95999c7d7d8f07073a658ac94469ea61017aeae,0xb618aacb9dcdc21ca69d310a6fc04674d293a193,0,0xb618aacb9dcdc21ca69d310a6fc04674d293a193
0xb782644735a84cf338b2c2ca0e6d9f5dcce27559,0xef682b1d0835df1f971d5d1f4565e9f6c121f706,0,0xef682b1d0835df1f971d5d1f4565e9f6c121f706
0x696418f16804228d86266e12db5c5178e81a37c0,0x622826fd951e86b25c36222857a65323742bf302,1,0x40564bccb0b98df9f8c5194b403195eece1962d2
0xc72ba3a4342eadd3ebcb5b4c5d2d9e528a83f2a4,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0xcf4cb28fcc70923dfa70e202d4590687d5fdcbe7
0xb6494df9ca71de10874a92dca07e714245c4b4a8,0xf6dfa4a1213f1d14f898f2eb840b1405984fe014,0,0xf6dfa4a1213f1d14f898f2eb840b1405984fe014
0x2f0ad1c7c6824f0a44641b70e5923555bd1f56f7,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0xf1e9259db3999a1b28fca4c81f2b1cac5e5e3836
0xc9ead96b489dc1490be016fdba183c0aa6b8ad6d,0xe5e11deea750f13aab60b780c3a0f62b08b89c9a,0,0xe5e11deea750f13aab60b780c3a0f62b08b89c9a
0x7bc1e07cdfa283db7cf3c680d16ca7f161a64046,0x2838daeab11ae3aca3df66923ac03ea4644267fe,0,0x2838daeab11ae3aca3df66923ac03ea4644267fe
0x0dbfe8bf46818d1f6fa54d1028eb65eefc279621,0xf40a4efdfee5c38df12d3deaaa0bf5560c979ab5,0,0xf40a4efdfee5c38df12d3deaaa0bf5560c979ab5
0x5e54e2a7f8c925276a83fd977a91eb8c7445fbd3,0x4ce526bf6ac8826d9f82ff675f2616d68a918260,0,0x4ce526bf6ac8826d9f82ff675f2616d68a918260
0xee86db40f0651f69cdcea3e6ea7397170c5d679c,0x93712443ab1ebd3f06594da520ffecc724f21c4b,0,0x93712443ab1ebd3f06594da520ffecc724f21c4b
0x79555a73d69c37c1db8a3018a8d11a8b3e48237c,0xabb28fc2ee7ff751c8422f7bdbf989a2f8be17ab,0,0xabb28fc2ee7ff751c8422f7bdbf989a2f8be17ab
0xec14cd62736343ed9a49afa022b018732ec2c5d9,0x764813695e01e04a6a12cc91966dc91cd3c89873,0,0x764813695e01e04a6a12cc91966dc91cd3c89873
0x1d745654bf38bf38622084234a6f19dd6d0b2a14,0x958c51643cee620734234c19848962e61bc207b2,0,0x958c51643cee620734234c19848962e61bc207b2
0x9609cde180b3fd3faf73c9bfcad8f2c72fda505b,0xce6041330e6d30a48d2065cf119454583180b3ef,0,0xce6041330e6d30a48d2065cf119454583180b3ef
0xc145fd5470bec041e0cba48eb39c91d0c740b7e4,0xbbb2d0dd7d29e33ee3de1a9fad718f18e5e62d04,0,0xbbb2d0dd7d29e33ee3de1a9fad718f18e5e62d04
0x0a51f189720baa3511ca93d227be9d33b8e558a9,0x9b82d32d9a43944a40e8a961e967be6856a71627,0,0x9b82d32d9a43944a40e8a961e967be6856a71627
0x5d97352054a71026e1cc03a4b119bce4e9b119a5,0x5cbb31e39ca93ca13d8e9f686bf749b14076bc65,0,0x5cbb31e39ca93ca13d8e9f686bf749b14076bc65
0x98110d11f0575181eadc8c907951fbee6e93df23,0xc825d89c6f5247c37d84db625d49f2d0299fa401,0,0xc825d89c6f5247c37d84db625d49f2d0299fa401
0x224903259c3197bf627eee29152d3f46e29cb6b0,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0x4b91c79d57519095776407c1942d6f5b4b20ce11
0x0b0cc03d49287a3f8d82b34de9792cf97f283949,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0x291fe0818daee7e7cb6d67d41e848af265c1e86a
0xa91f68f5dd30ff233cb71d20271b5aca3afa55b6,0x5dbc7b840baa9dabcbe9d2492e45d7244b54a2a0,1,0x83fccf7ece53c74e0c6d61290792a4c1b1c19128
0x5946aeaab44e65eb370ffaa6a7ef2218cff9b47d,0x23692d965d700be09fe8805b48c98123b1718d34,0,0x23692d965d700be09fe8805b48c98123b1718d34
0x8f1bea96b22fd204a7e53f1bcbd2a4a091e903a4,0xf77b8f94301ca39ecfce417315f0dc1eb1fea02f,0,0xf77b8f94301ca39ecfce417315f0dc1eb1fea02f
0x8b392d98974bcba42818f3dfedde6b31d9d91b05,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0x3d5e9077ef8f9c6b0e10d6c62c1a022a49675cc3
0x13f57c00ee0a97b8360cf5cd8002d55c7c167c04,0x30d8a40f9a5539c1e75929bc6117e55f16c1c303,0,0x30d8a40f9a5539c1e75929bc6117e55f16c1c303
0x969eb3b6500dccd5f3462396da43f0f38e9bdd4f,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0x006d85f6ac839c8f7ab3487b926b8c65f0e9db39
0x3f98e2b3237a61348585c9bdb30a5571ff59cc41,0xc3279babe48c43955932570694f3adb55027eb8e,1,0x04c8818e03bfef53ce61728cebff63facb2c40c1
0x2de82331d4a90cee2a3916651c1106a97b4139f6,0xeec7689e935a0d8c440f9b1d403f0b6305935788,0,0xeec7689e935a0d8c440f9b1d403f0b6305935788
0xcc276060884b2c165e0e96772088d397ad207bc3,0xd91c8fe4ce51e400cee8a4ad49b774e7f2668200,0,0xd91c8fe4ce51e400cee8a4ad49b774e7f2668200
0xfac5ffacad916d72c6c644d56751ca20b3a1386e,0x19478179ef8bb7c4792a4041903080e097d137dd,1,0x6849dfc7560bc5f1037dd0c28718cd7c77555058
0x776bd31ae5549eac9ed215b5db278229454d5bed,0x97963380a1ed099905a7f3d8207e650caf2fdc05,0,0x97963380a1ed099905a7f3d8207e650caf2fdc05
0xd4f983ca3c9ea73a0a21d58b8abcc97a52bcc52c,0xd67f7f94ca53b6f0518d81f2a8dbcf9cd23c8b22,0,0xd67f7f94ca53b6f0518d81f2a8dbcf9cd23c8b22
0x7413b59f86635414b5ff609662eb92f7bf202ae6,0x99581599e8823ee9130380281478e729e926353f,0,0x99581599e8823ee9130380281478e729e926353f
0x877d4043b66a029cc6e9fac754e54f1923f3300e,0x7336a874ab9e62c6bb735d8e64b077237af822af,0,0x7336a874ab9e62c6bb735d8e64b077237af822af
0xa6f68b5c2eec739baecac153029d1c987700dd96,0x809fe19f7fed5fbf14090bdee4733b28303ae4b5,0,0x809fe19f7fed5fbf14090bdee4733b28303ae4b5
