DS,N_CONTRACTS_CREATED
2021-06-27 00:00:00.000,163842
2021-06-28 00:00:00.000,49897
2021-06-29 00:00:00.000,28107
2021-06-30 00:00:00.000,30674
2021-07-01 00:00:00.000,25439
2021-07-02 00:00:00.000,79344
2021-07-03 00:00:00.000,144724
2021-07-04 00:00:00.000,137013
2021-07-05 00:00:00.000,64020
2021-07-06 00:00:00.000,14296
2021-07-07 00:00:00.000,11503
2021-07-08 00:00:00.000,12162
2021-07-09 00:00:00.000,17458
2021-07-10 00:00:00.000,35971
2021-07-11 00:00:00.000,83695
2021-07-12 00:00:00.000,23259
2021-07-13 00:00:00.000,13811
2021-07-14 00:00:00.000,17950
2021-07-15 00:00:00.000,12760
2021-07-16 00:00:00.000,16074
2021-07-17 00:00:00.000,20555
2021-07-18 00:00:00.000,30839
2021-07-19 00:00:00.000,37286
2021-07-20 00:00:00.000,22418
2021-07-21 00:00:00.000,28564
2021-07-22 00:00:00.000,18465
2021-07-23 00:00:00.000,20362
2021-07-24 00:00:00.000,31377
2021-07-25 00:00:00.000,23113
2021-07-26 00:00:00.000,10579
2021-07-27 00:00:00.000,22158
2021-07-28 00:00:00.000,12224
2021-07-29 00:00:00.000,17088
2021-07-30 00:00:00.000,16868
2021-07-31 00:00:00.000,25612
2021-08-01 00:00:00.000,20244
2021-08-02 00:00:00.000,22167
2021-08-03 00:00:00.000,15153
2021-08-04 00:00:00.000,15469
2021-08-05 00:00:00.000,9330
2021-08-06 00:00:00.000,9041
2021-08-07 00:00:00.000,8827
2021-08-08 00:00:00.000,9830
2021-08-09 00:00:00.000,10472
2021-08-10 00:00:00.000,10758
2021-08-11 00:00:00.000,9545
2021-08-12 00:00:00.000,9546
2021-08-13 00:00:00.000,9684
2021-08-14 00:00:00.000,9120
2021-08-15 00:00:00.000,9513
2021-08-16 00:00:00.000,9497
2021-08-17 00:00:00.000,9142
2021-08-18 00:00:00.000,8865
2021-08-19 00:00:00.000,9651
2021-08-20 00:00:00.000,10423
2021-08-21 00:00:00.000,10946
2021-08-22 00:00:00.000,11102
2021-08-23 00:00:00.000,9764
2021-08-24 00:00:00.000,10642
2021-08-25 00:00:00.000,11317
2021-08-26 00:00:00.000,11215
2021-08-27 00:00:00.000,11587
2021-08-28 00:00:00.000,12576
2021-08-29 00:00:00.000,11710
2021-08-30 00:00:00.000,11871
2021-08-31 00:00:00.000,10572
2021-09-01 00:00:00.000,11988
2021-09-02 00:00:00.000,11802
2021-09-03 00:00:00.000,10157
2021-09-04 00:00:00.000,10570
2021-09-05 00:00:00.000,10867
2021-09-06 00:00:00.000,11030
2021-09-07 00:00:00.000,10351
2021-09-08 00:00:00.000,11722
2021-09-09 00:00:00.000,14176
2021-09-10 00:00:00.000,15916
2021-09-11 00:00:00.000,13533
2021-09-12 00:00:00.000,15666
2021-09-13 00:00:00.000,14845
2021-09-14 00:00:00.000,17423
2021-09-15 00:00:00.000,14089
2021-09-16 00:00:00.000,11401
2021-09-17 00:00:00.000,9043
2021-09-18 00:00:00.000,13112
2021-09-19 00:00:00.000,17299
2021-09-20 00:00:00.000,8641
2021-09-21 00:00:00.000,10587
2021-09-22 00:00:00.000,11128
2021-09-23 00:00:00.000,10743
2021-09-24 00:00:00.000,10324
2021-09-25 00:00:00.000,14273
2021-09-26 00:00:00.000,8116
2021-09-27 00:00:00.000,13673
2021-09-28 00:00:00.000,10000
2021-09-29 00:00:00.000,9986
2021-09-30 00:00:00.000,8912
2021-10-01 00:00:00.000,8308
2021-10-02 00:00:00.000,12147
2021-10-03 00:00:00.000,11401
2021-10-04 00:00:00.000,8335
2021-10-05 00:00:00.000,8112
2021-10-06 00:00:00.000,7238
2021-10-07 00:00:00.000,9341
2021-10-08 00:00:00.000,10741
2021-10-09 00:00:00.000,10956
2021-10-10 00:00:00.000,10307
2021-10-11 00:00:00.000,7899
2021-10-12 00:00:00.000,9839
2021-10-13 00:00:00.000,10041
2021-10-14 00:00:00.000,10033
2021-10-15 00:00:00.000,9098
2021-10-16 00:00:00.000,14818
2021-10-17 00:00:00.000,10092
2021-10-18 00:00:00.000,10557
2021-10-19 00:00:00.000,10708
2021-10-20 00:00:00.000,10327
2021-10-21 00:00:00.000,9414
